;;;;;;;;;;;;;;;;
Station Name;Code;;;;;;SGU;WO;SDA;BG;LW;ML;MR;KTS;KD;BL
Surabaya Gubeng;SGU;;;;;SGU;0;5.8;?;?;?;?;?;?;?;?
Wonokromo;WO;;;;;WO;5.8;0;17.6;?;?;?;38.0;?;?;?
Sidoarjo;SDA;;;;;SDA;?;17.6;0;21.5;?;?;?;?;?;?
Bangil;BG;;;;;BG;?;?;21.5;0;40.5;?;?;?;?;?
Lawang;LW;;;;;LW;?;?;?;40.5;0;18.6;?;?;?;?
Malang;ML;;;;;ML;?;?;?;?;18.6;0;?;?;?;58.2
Mojokerto;MR;;;;;MR;?;38.0;?;?;?;?;0;42.9;?;?
Kertosono;KTS;;;;;KTS;?;?;?;?;?;?;42.9;0;25.2;?
Kediri;KD;;;;;KD;?;?;?;?;?;?;?;25.2;0;54.8
Blitar;BL;;;;;BL;?;?;?;?;?;58.2;?;?;54.8;0
